Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,9.1805419576262,9.1805419576262,9.1805419576262,5.811792360161064,160,9,1,2,2,2,0.18299999999999997,5.994792360161064,5.628792360161064,-0.4973879999999996,0.18556899999999787,-6.396505846564468e-05,2.0868937111807938e-07,1.8490637654919146e-07,9.779363044771253
0.064,0,4,1,10.864059922087714,20.044601879713916,1.6835179644615135,5.735113485931153,160,9,1,-5,-3,-7,-0.4605,5.2746134859311535,6.195613485931153,-0.49417660814697234,0.18742021787910854,-2.189283742420889e-05,4.35301553856221,0.012974106330169613,9.589926924911683
0.096,0,4,1,9.743641287037166,29.78824316675108,-1.120418635050548,5.793938354283192,160,9,1,-2,-5,3,-0.1605,5.633438354283192,5.954438354283192,-0.49101917180814364,0.1892378941161449,-6.0961543306592425e-05,0.3023586261927428,0.0007971891811246522,9.700832410181883
0.128,0,4,1,9.272601777200324,39.0608449439514,-0.4710395098368423,5.81684095064982,160,9,1,-1,-6,1,-0.111,5.70584095064982,5.92784095064982,-0.48782167575051083,0.19111763950938457,-7.650776785438594e-05,0.05409603101689553,0.03769974808684306,9.861187501784025
0.16,0,4,1,9.1805419576262,48.2413869015776,-0.09205981957412313,5.821064961938264,160,9,1,-3,-9,-2,-0.3105,5.510564961938264,6.131564961938264,-0.4846189964917942,0.19301589961412893,-6.96752019175885e-05,0.18674310278985898,0.016497929829065314,9.846697401386056
0.192,0,4,1,9.1805419576262,57.4219288592038,0.0,5.82097290211869,160,9,1,-1,-10,2,-0.132,5.6889729021186906,5.95297290211869,-0.4814362553188749,0.19491617286679316,-6.972903488542889e-05,0.06775882664669804,0.013637880472711075,9.795785486409073
0.224,0,4,1,8.702223789946824,66.12415264915063,-0.47831816767937596,5.845367128670338,160,9,1,-2,-12,-1,-0.249,5.596367128670338,6.094367128670338,-0.47825221305539023,0.19685088297297373,-6.970592438932006e-05,0.01084248873214371,0.03158996919362216,9.816585014796095
0.256,0,4,1,8.130102354156005,74.25425500330664,-0.5721214357908195,5.874067003727991,160,9,1,-2,-14,0,-0.255,5.6190670037279915,6.129067003727991,-0.47506038846151877,0.1988028528937267,-6.826852858883223e-05,-0.08040290012594259,0.0142656749915592,9.791852058142515
0.28800000000000003,0,4,1,7.556344056439443,81.81059905974608,-0.5737582977165623,5.902756555475745,160,9,1,-2,-16,0,-0.27,5.632756555475744,6.172756555475745,-0.47186421130913897,0.20078271678801676,-6.763978104385414e-05,-0.06037664877833473,0.025854017110356033,9.7886238216272
0.32,0,4,1,6.981057406829782,88.79165646657586,-0.5752866496096605,5.931522416308121,160,9,1,-1,-17,1,-0.1935,5.73802241630812,6.125022416308121,-0.4686644586612925,0.20279158371131603,-6.770304977670068e-05,-0.03560451464991309,0.027280266790620088,9.775273500597791
