Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,2.2906100426385936,2.2906100426385936,2.2906100426385936,6.065199984865566,160,9,1,-11,-11,-11,-0.6545000000000001,5.410699984865566,6.28,-0.021500000000000408,0.17999999999999444,-6.396425821141548e-05,-3.877133818084198,-0.027600213140184415,9.779242627374378
0.064,0,4,1,2.2906100426385936,4.581220085277187,0.0,6.065199984865566,160,9,1,-5,-16,6,-0.30300000000000005,5.762199984865566,6.28,-0.025212664339490695,0.17999399479108533,-2.1744632810957037e-05,4.359948407351177,-0.030766404981139774,9.589212732853662
0.096,0,4,1,1.7183580016555007,6.299578086932688,-0.5722520409830929,6.116357855429741,160,9,1,-2,-18,3,-0.1765,5.939857855429741,6.28,-0.029051944904793636,0.1799402188976193,-6.081848343011953e-05,0.4901199796762132,0.03578162562319959,9.693567782848852
0.128,0,4,1,1.7183580016555007,8.017936088588188,0.0,6.116357855429741,160,9,1,0,-18,2,-0.081,6.035357855429741,6.1973578554297415,-0.03296252835253596,0.1798649701304166,-7.659234803334379e-05,0.06101333235372013,0.020842416492538887,9.860911532902835
0.16,0,4,1,1.1457628381751443,9.163698926763333,-0.5725951634803563,6.169143233402604,160,9,1,2,-16,2,0.029000000000000005,6.198143233402604,6.140143233402604,-0.03687603596032954,0.17977538279003227,-6.975149771124879e-05,0.1791186854636187,0.016119932445815114,9.847139993054684
0.192,0,4,1,1.1457628381751443,10.309461764938478,0.0,6.169143233402604,160,9,1,2,-14,0,0.03,6.199143233402604,6.139143233402604,-0.04082128358923449,0.17967849996810994,-6.976621039054935e-05,0.11670236864293335,0.007904477835074407,9.795364938440667
0.224,0,4,1,0.5729386976839008,10.882400462622378,-0.5728241404912435,6.223655143819362,160,9,1,3,-11,1,0.09950000000000003,6.28,6.124155143819362,-0.04476822609208454,0.17958565351964773,-6.968473962537698e-05,-0.00794156517946344,-0.001050505691695314,9.816647836273427
0.256,0,4,1,1.1457628381751443,12.028163300797523,0.5728241404912435,6.169143233402604,160,9,1,2,-9,-1,0.05050000000000001,6.219643233402604,6.1186432334026035,-0.04873628740054243,0.17949628984809723,-6.78988356216468e-05,-0.07976274036987868,4.527371172388085e-05,9.792136504546345
0.28800000000000003,0,4,1,1.1457628381751443,13.173926138972668,0.0,6.169143233402604,160,9,1,2,-7,0,0.065,6.234143233402604,6.104143233402604,-0.05268351250582698,0.17941614303427192,-6.694988546910273e-05,-0.1028583022863579,-0.004597786530150324,9.788223318479677
0.32,0,4,1,0.5729386976839008,13.746864836656568,-0.5728241404912435,6.223655143819362,160,9,1,2,-5,0,0.07500000000000001,6.28,6.1486551438193615,-0.05663089179253296,0.17934197936866494,-6.66697008662974e-05,-0.06050803763719491,-0.0015652328709593259,9.775161591366372
0.352,0,4,1,0.5729386976839008,14.319803534340469,0.0,6.223655143819362,160,9,1,2,-3,0,0.085,6.28,6.138655143819362,-0.06060735470905882,0.17927456143983223,-6.646990689981001e-05,-0.0007518638295245905,-0.0029734227073126857,9.859824998999787
0.384,0,4,1,0.5729386976839008,14.89274223202437,0.0,6.223655143819362,160,9,1,2,-1,0,0.095,6.28,6.128655143819362,-0.06458077193131762,0.17921432007062008,-6.615040709630725e-05,0.0004358651062566825,-0.003360792477965547,9.803779101689862
0.41600000000000004,0,4,1,0.5729386976839008,15.46568092970827,0.0,6.223655143819362,160,9,1,1,0,-1,0.045500000000000006,6.269155143819361,6.178155143819362,-0.0685511270910661,0.17916148366199527,-6.568966748495171e-05,0.032080990045962245,-0.004269426476362342,9.878399772030537
0.448,0,4,1,0.5729386976839008,16.038619627392173,0.0,6.223655143819362,160,9,1,1,1,0,0.055,6.278655143819361,6.168655143819362,-0.07253393049886772,0.17911600038491873,-6.527209440305645e-05,0.0430397510137668,-0.005156181299106477,9.752445559765974
0.48,0,4,1,0.0,16.038619627392173,-0.5729386976839008,6.279999999999999,160,9,1,1,2,0,0.060000000000000005,6.28,6.22,-0.07651680453257086,0.1790748360723843,-6.50916498361135e-05,0.02484804352275757,-0.0030194787566766037,9.735546874915443
0.512,0,4,1,0.0,16.038619627392173,0.0,6.279999999999999,160,9,1,1,3,0,0.065,6.28,6.214999999999999,-0.08051657629434683,0.1790385373591094,-6.492506774270074e-05,0.0373861122258965,-0.004601953491186522,9.744605205580333
0.544,0,4,1,0.0,16.038619627392173,0.0,6.279999999999999,160,9,1,1,4,0,0.07,6.28,6.209999999999999,-0.08451477962095266,0.17900474309617442,-6.4787607848232e-05,0.01353619795363541,-0.0029318913570976447,9.852040989927813
0.5760000000000001,0,4,1,0.5729386976839008,16.611558325076075,0.5729386976839008,6.223655143819362,160,9,1,0,4,-1,0.0155,6.239155143819362,6.208155143819361,-0.08851141434752918,0.17897360870605303,-6.466877353275904e-05,0.006535400418839814,-0.003726404819300928,9.814018477186798
0.608,0,4,1,0.5729386976839008,17.184497022759977,0.0,6.223655143819362,160,9,1,0,4,0,0.02,6.243655143819361,6.203655143819362,-0.09249441178264943,0.1789454249413209,-6.455345116816551e-05,-0.015444147846971509,-0.004470115156687081,9.845525645494074
0.64,0,4,1,0.5729386976839008,17.75743572044388,0.0,6.223655143819362,160,9,1,0,4,0,0.02,6.243655143819361,6.203655143819362,-0.09647742631763785,0.17891817454440553,-6.443488413264593e-05,-0.012158726355333804,-0.0029798049664918605,9.802266923378802
0.672,0,4,1,0.5729386976839008,18.330374418127782,0.0,6.223655143819362,160,9,1,0,4,0,0.02,6.243655143819361,6.203655143819362,-0.1004604591362683,0.17889232835662428,-6.431304852499986e-05,-0.021476213611654433,-0.0036304969649673833,9.789054679612807
0.704,0,4,1,0.5729386976839008,18.903313115811684,0.0,6.223655143819362,160,9,1,0,4,0,0.02,6.243655143819361,6.203655143819362,-0.10444350863648873,0.17886794510306245,-6.420258681224915e-05,-0.0197706077236999,-0.0038294319676757263,9.826752016426076
0.736,0,4,1,0.5729386976839008,19.476251813495587,0.0,6.223655143819362,160,9,1,0,4,0,0.02,6.243655143819361,6.203655143819362,-0.10842657433413673,0.17884509424957099,-6.415702447276454e-05,-0.016572437054017734,-0.0038904996003848815,9.793319920895076
0.768,0,4,1,0.5729386976839008,20.04919051117949,0.0,6.223655143819362,160,9,1,0,4,0,0.02,6.243655143819361,6.203655143819362,-0.11240965414372883,0.17882384322140904,-6.412219573000318e-05,-0.012620049762420569,-0.0038837092698731355,9.824276347792585
0.8,0,4,1,0.0,20.04919051117949,-0.5729386976839008,6.279999999999999,160,9,1,0,4,0,0.02,6.28,6.26,-0.11639274644766055,0.1788042538684628,-6.409409710148896e-05,-0.007849141735484117,-0.0037861814860235816,9.871978505487185
0.8320000000000001,0,4,1,0.0,20.04919051117949,0.0,6.279999999999999,160,9,1,0,4,0,0.02,6.28,6.26,-0.12040550843183495,0.17878624925141368,-6.407014113613864e-05,0.03224976129957964,-0.0036911870829833826,9.842123740551084
0.864,0,4,1,0.0,20.04919051117949,0.0,6.279999999999999,160,9,1,0,4,0,0.02,6.28,6.26,-0.1244182760191615,0.1787690272595785,-6.402726530719931e-05,0.014196883243127562,-0.0026056050771087595,9.818127991148817
0.896,0,4,1,0.0,20.04919051117949,0.0,6.279999999999999,160,9,1,0,4,0,0.02,6.28,6.26,-0.1284310453914832,0.17875262196376362,-6.396478555541728e-05,0.014138665459820171,-0.0024639992624363115,9.79824955485154
0.928,0,4,1,0.0,20.04919051117949,0.0,6.279999999999999,160,9,1,0,4,0,0.02,6.28,6.26,-0.1324438204070112,0.1787370598162298,-6.395966389315805e-05,0.013278572768471128,-0.0023106770842624665,9.803331015054928
0.96,0,4,1,0.5729386976839008,20.62212920886339,0.5729386976839008,6.223655143819362,160,9,1,1,5,1,0.07950000000000002,6.28,6.144155143819361,-0.13645659839182395,0.17872236899592026,-6.39587215958224e-05,0.011496079666482565,-0.0021791283444406815,9.804798991682683
0.992,0,4,1,0.5729386976839008,21.195067906547294,0.0,6.223655143819362,160,9,1,0,5,-1,0.0205,6.244155143819362,6.2031551438193615,-0.1404323125445668,0.17870871903651392,-6.397376479530537e-05,-0.03420931527975525,-0.002112311328868212,9.814870123575844
1.024,0,4,1,1.7183580016555007,22.913425908202793,1.1454193039715999,6.116357855429741,160,9,1,0,5,0,0.025,6.141357855429741,6.091357855429741,-0.1444154610829704,0.1787016122114511,-6.397035292864291e-05,0.0006553776503412866,-0.007481985277678284,9.86604837529326
1.056,0,4,1,3.4336303624506144,26.347056270653407,1.7152723607951137,5.967401045967872,160,9,1,0,5,0,0.025,5.992401045967872,5.9424010459678716,-0.1483299415123734,0.17869652662822946,-6.390592963162467e-05,-0.0951951677998143,-0.002938396956662333,9.765065256869967
1.088,0,4,1,4.573921259900898,30.920977530554303,1.1402908974502832,5.875075771441796,160,9,1,-1,4,-1,-0.0345,5.840575771441795,5.909575771441796,-0.1521490891391983,0.1786938106992819,-6.375122794318247e-05,-0.11805056192942713,-0.003260699192671606,9.856001523279435
1.12,0,4,1,6.277298489597548,37.19827602015185,1.7033772296966507,5.745604202229705,160,9,1,0,4,1,0.0245,5.770104202229705,5.721104202229705,-0.15590913203522924,0.17869339997545397,-6.375219216648263e-05,-0.0809604483839989,-0.003153701446306223,9.83310770962208
1.1520000000000001,0,4,1,7.406912128495223,44.60518814864707,1.1296136388976743,5.664570104644827,160,9,1,-1,3,-1,-0.0395,5.625070104644827,5.704070104644828,-0.15958632348890034,0.17868962650838277,-6.373809442817256e-05,-0.10208741163415819,0.0023749432010561284,9.846010897715821
1.184,0,4,1,9.090276920822312,53.695465069469385,1.6833647923270894,5.54987562742334,160,9,1,0,3,1,0.0195,5.56937562742334,5.53037562742334,-0.16321164594550097,0.17868800907499247,-6.37451916900341e-05,-0.07040182472117737,-0.002962429708216565,9.841551858394716
1.216,0,4,1,10.757967088390043,64.45343215785942,1.6676901675677307,5.442316345653184,160,9,1,0,3,0,0.015,5.457316345653184,5.4273163456531845,-0.1667635658668895,0.17868274551621216,-6.37369472785785e-05,-0.09061428630756278,0.0027750943845514364,9.814180452652769
1.248,0,4,1,12.407418527400745,76.86085068526017,1.6494514390107025,5.3408386412503175,160,9,1,0,3,0,0.015,5.355838641250317,5.325838641250318,-0.17024664859830504,0.1786791624584174,-6.373229091303015e-05,-0.0852247253650564,-0.002354298797076586,9.801960774976697
1.28,0,4,1,12.95276451337554,89.81361519863572,0.5453459859747944,5.3082052579305765,160,9,1,-1,2,-1,-0.0445,5.263705257930576,5.352705257930577,-0.173664785412663,0.17867684202258188,-6.373065512447346e-05,-0.08064387004159446,-0.0018967104921048172,9.79351732182127
1.312,0,4,1,11.859779120947966,101.67339431958368,-1.0929853924275736,5.374047857621811,160,9,1,-5,-3,-4,-0.28300000000000003,5.091047857621811,5.657047857621811,-0.1770620324528974,0.17867578542124457,-6.37623197687967e-05,-0.037080897771057435,-0.0018219072831351837,9.80933342210187
1.344,0,4,1,11.309932474020227,112.98332679360391,-0.5498466469277385,5.40786162681162,160,9,1,-6,-9,-1,-0.34950000000000003,5.05836162681162,5.75736162681162,-0.18050144442875482,0.17867100049735274,-6.381994367902523e-05,0.03452524601654295,0.002798450168240422,9.77009607173594
1.3760000000000001,0,4,1,10.203973721731703,123.18730051533561,-1.1059587522885241,5.477446571130509,160,9,1,-7,-16,-1,-0.43450000000000005,5.042946571130509,5.911946571130509,-0.1839627702626608,0.17864182380468857,-6.388807333926501e-05,0.029953761445129103,0.023008443160866667,9.75648788345274
1.408,0,4,1,9.648045316098152,132.83534583143376,-0.5559284056335514,5.513285433885829,160,9,1,-6,-22,1,-0.4055,5.107785433885829,5.918785433885829,-0.18746874105977193,0.17858183005726078,-6.39858293787713e-05,0.07556540581935586,0.02896639830442399,9.811466821986723
1.44,0,4,1,9.648045316098152,142.4833911475319,0.0,5.513285433885829,160,9,1,-5,-27,1,-0.3805,5.13278543388583,5.893785433885829,-0.19099717599525237,0.17848377813996572,-6.42372718529672e-05,0.050565994250486045,0.036851674199357906,9.84233111604058
1.472,0,4,1,8.530765609948096,151.01415675748,-1.1172797061500557,5.587258244324584,160,9,1,-5,-32,0,-0.41000000000000003,5.177258244324584,5.997258244324584,-0.19452453543056314,0.1783512798448068,-6.481025624754423e-05,0.02206045180110632,0.035165746748117586,9.808216919485846
1.504,0,4,1,8.530765609948096,159.54492236742811,0.0,5.587258244324584,160,9,1,-3,-35,2,-0.31600000000000006,5.271258244324584,5.903258244324584,-0.19809786098393362,0.17818482355834922,-6.549958080874149e-05,0.06488802011934484,0.033654670788824705,9.809978561607634
1.536,0,4,1,7.969610394321354,167.51453276174948,-0.5611552156267425,5.6254744406460215,160,9,1,-2,-37,1,-0.2805,5.344974440646022,5.9059744406460215,-0.20166901107138263,0.17798396797041474,-6.621442960940901e-05,0.013622636406494951,0.038290002403050846,9.808304774827876
1.568,0,4,1,7.406912128495223,174.92144489024471,-0.562698265826131,5.664570104644827,160,9,1,-2,-39,0,-0.29500000000000004,5.369570104644827,5.959570104644827,-0.2052626103012823,0.17775587507966376,-6.686371337396788e-05,0.03499113653979316,0.031369811295312175,9.816679199341968
1.6,0,4,1,6.842773412630916,181.76421830287563,-0.5641387158643063,5.704596124854936,160,9,1,-2,-41,0,-0.30500000000000005,5.399596124854936,6.009596124854935,-0.2088794331262241,0.17750356146192656,-6.744322771475887e-05,0.033604779715953964,0.02955871106901708,9.799645221489826
1.6320000000000001,0,4,1,6.277298489597548,188.04151679247317,-0.565474923033368,5.745604202229705,160,9,1,-1,-42,1,-0.2555,5.4901042022297055,6.001104202229705,-0.2125199053024502,0.17722559676707125,-6.79294064379176e-05,0.032333138590054926,0.03232649676273489,9.778605644908136
1.6640000000000001,0,4,1,6.277298489597548,194.31881528207072,0.0,5.745604202229705,160,9,1,0,-42,1,-0.2055,5.540104202229705,5.951104202229705,-0.21618431924507073,0.17692093941616313,-6.822786064649561e-05,0.03130243481745889,0.03449502967304237,9.828510151400135
1.696,0,4,1,6.277298489597548,200.59611377166826,0.0,5.745604202229705,160,9,1,0,-42,0,-0.21,5.535604202229705,5.955604202229705,-0.219846751376627,0.17659604964341605,-6.83451465125929e-05,0.0032348511886663776,0.03159034761793988,9.80719294871883
1.728,0,4,1,5.710593137499568,206.30670690916781,-0.5667053520979799,5.787647729296528,160,9,1,0,-42,0,-0.21,5.577647729296528,5.997647729296528,-0.2235076809889686,0.1762553615627294,-6.834457388074124e-05,0.00039350471521562114,0.027981418914213234,9.857516281858377
1.76,0,4,1,5.142764557884225,211.44947146705204,-0.5678285796153437,5.830783204987616,160,9,1,0,-42,0,-0.21,5.620783204987616,6.040783204987616,-0.22719383593540007,0.17589581726591685,-6.823629824619787e-05,0.02862761860100998,0.02872659388669949,9.834549456216013
1.792,0,4,1,5.142764557884225,216.59223602493626,0.0,5.830783204987616,160,9,1,1,-41,1,-0.15050000000000002,5.6802832049876155,5.981283204987616,-0.23090584397792027,0.1755169407514069,-6.801770305421562e-05,0.02907113772061924,0.029315150462329263,9.791887585113733
1.824,0,4,1,5.710593137499568,222.3028291624358,0.5678285796153437,5.787647729296528,160,9,1,1,-40,0,-0.15000000000000002,5.6376477292965275,5.937647729296528,-0.2346160780127517,0.1751213066062458,-6.770328526031766e-05,0.0017512281787987309,0.029694586418050756,9.81732592601549
1.856,0,4,1,7.406912128495223,229.70974129093105,1.6963189909956542,5.664570104644827,160,9,1,1,-39,0,-0.14500000000000002,5.519570104644828,5.809570104644827,-0.2382976747703404,0.1747171365697166,-6.735790196511077e-05,-0.031407982377476745,0.024573529919723173,9.803651557844962
1.8880000000000001,0,4,1,9.648045316098152,239.3577866070292,2.2411331876029292,5.513285433885829,160,9,1,1,-38,0,-0.14,5.37328543388583,5.653285433885829,-0.2418997822386097,0.1743102186339958,-6.690449037748299e-05,-0.08144016104437442,0.024398087100774055,9.777884556964878
1.92,0,4,1,12.407418527400745,251.76520513442995,2.7593732113025933,5.3408386412503175,160,9,1,1,-37,0,-0.135,5.205838641250318,5.475838641250317,-0.245404520884821,0.17390338152619006,-6.647946575012373e-05,-0.09985265178133662,0.023201180444418757,9.815012350691504
1.952,0,4,1,15.109575122340447,266.8747802567704,2.7021565949397015,5.182847707968271,160,9,1,2,-35,1,-0.07050000000000001,5.112347707968271,5.253347707968271,-0.24879850531811373,0.173499094806979,-6.60715324817384e-05,-0.11316895929299364,0.022089897231051276,9.806922189430296
1.984,0,4,1,17.22343619113144,284.09821644790185,2.1138610687909942,5.0645461479686436,160,9,1,1,-34,-1,-0.12450000000000001,4.940046147968643,5.189046147968644,-0.2520909388016966,0.17309720674137696,-6.566433279024848e-05,-0.10537705250693602,0.020498964091214083,9.818143912495236
2.016,0,4,1,19.79887635452493,303.89709280242676,2.5754401633934876,4.924476355226671,160,9,1,1,-33,0,-0.115,4.80947635522667,5.039476355226671,-0.2553077598921674,0.17269992690874372,-6.536842224456538e-05,-0.08107252866029901,0.014591608132348976,9.813421907743868
2.048,0,4,1,22.293629159694085,326.19072196212085,2.4947528051691563,4.791006603323376,160,9,1,2,-31,1,-0.050499999999999996,4.740506603323375,4.841506603323376,-0.25843459335505903,0.17230515680206204,-6.509350721179731e-05,-0.09473308543269013,0.0176508657238882,9.743617903892453
