Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,33.00310069207643,33.00310069207643,33.00310069207643,4.596841864704102,160,9,1,-21,-21,-21,-1.2495,3.3473418647041013,5.846341864704102,0.5905869999999971,-0.203855000000003,-6.397186062759644e-05,3.202634790352941e-07,-2.672224282396654e-07,9.77936469763795
0.064,0,4,1,38.078882361565,71.08198305364144,5.0757816694885705,4.370980100252261,160,9,1,-20,-41,1,-1.2005000000000001,3.170480100252261,5.571480100252261,0.5891432517725353,-0.20138121448907623,-3.8799720454211e-05,3.365285906506073,-0.06819599767385336,9.676973223406852
0.096,0,4,1,33.82616175818528,104.90814481182672,-4.252720603379721,4.592944632694116,160,9,1,-14,-55,6,-0.9480000000000001,3.644944632694116,5.540944632694116,0.5876738368765597,-0.19908011839384243,-6.153486325692452e-05,0.15413232614522376,0.09305681709067494,9.749826853735264
0.128,0,4,1,30.87681307906041,135.7849578908871,-2.9493486791248706,4.739108694726105,160,9,1,-10,-65,4,-0.8069999999999999,3.932108694726105,5.5461086947261045,0.5860272842386541,-0.1966346537200724,-7.225925618635325e-05,0.2380317699882458,0.0669057023755156,9.847754176602782
0.16,0,4,1,29.10473162741869,164.8896895183058,-1.7720814516417178,4.826535500080707,160,9,1,-7,-72,3,-0.6965,4.130035500080707,5.523035500080708,0.584281900734692,-0.19414524085768345,-7.045928177131476e-05,-0.130894654321437,0.061047062572114695,9.846030728396554
0.192,0,4,1,30.87681307906041,195.7665025973662,1.7720814516417178,4.734387264595338,160,9,1,-6,-78,1,-0.6855000000000001,4.048887264595338,5.419887264595339,0.5824612379512776,-0.1916444333796955,-7.50061706152657e-05,-0.0447001058638008,0.064269797505097,9.7951127011739
0.224,0,4,1,32.58570735391442,228.35220995128063,1.7088942748540141,4.649005738029425,160,9,1,-6,-84,0,-0.72,3.929005738029425,5.369005738029425,0.5806337584799393,-0.18922386845547004,-7.80902135325192e-05,-0.03968709419967327,0.06083269265512685,9.81780328071327
0.256,0,4,1,32.16439051359856,260.51660046487916,-0.4213168403158605,4.672201791160388,160,9,1,-7,-91,-1,-0.8095,3.8627017911603883,5.481701791160388,0.5788010026097239,-0.18687728435350914,-7.955420020620482e-05,-0.03994410524427952,0.057577368097293385,9.791409984764842
0.28800000000000003,0,4,1,33.00310069207643,293.5197011569556,0.8387101784778679,4.629006255217701,160,9,1,-4,-95,3,-0.6615000000000001,3.9675062552177005,5.290506255217701,0.5769213285144269,-0.1845493975056956,-8.157936906901843e-05,0.023345787113608813,0.05912065282360535,9.789528849601153
0.32,0,4,1,33.00310069207643,326.522801849032,0.0,4.629844965396178,160,9,1,-5,-100,-1,-0.7545,3.8753449653961782,5.384344965396179,0.5750185072072576,-0.18227853988800927,-8.300441100083343e-05,-0.03366559565919821,0.06734009899812439,9.776473565341783
0.352,0,4,1,33.41658139531293,359.939383244345,0.41348070323650177,4.608757449531117,160,9,1,-4,-104,1,-0.7155,3.893257449531117,5.3242574495311175,0.5730824795838619,-0.1800354502206551,-8.42052696563584e-05,-0.0010183713014222827,0.058505287659431,9.859946005936763
