Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,9.1805419576262,9.1805419576262,9.1805419576262,5,160,9,1,2,2,2,0.18299999999999997,5.183,4.817,-0.4973879999999996,0.18556899999999787,-6.396505846564468e-05,-2.5597536344321914,-0.26814274078189354,9.779017078846215
0.064,0,4,1,10.40771131249005,19.58825327011625,1.2271693548638503,5,160,9,1,-5,-3,-7,-0.4605,4.5395,5.4605,-0.49462621387090383,0.18716104788975504,-3.2842788975098736e-05,3.744997060625085,0.011166587722134368,9.646227835744284
0.096,0,4,1,9.743641287037166,29.33189455715342,-0.6640700254528848,5,160,9,1,-1,-4,4,-0.069,4.931,5.069,-0.4918768766869404,0.18874368532202496,-6.0697204305916116e-05,0.30099665250806745,0.00029986250007810205,9.730287043321443
0.128,0,4,1,9.1805419576262,38.51243651477962,-0.5630993294109654,5,160,9,1,-1,-5,0,-0.11249999999999999,4.8875,5.1125,-0.48911726658211563,0.19036518481145834,-7.256432698193697e-05,0.016777080566163022,0.03243497565473334,9.853918332070112
0.16,0,4,1,8.615648184164066,47.12808469894369,-0.5648937734621349,5,160,9,1,-3,-8,-2,-0.303,4.697,5.303,-0.48636066970404224,0.19199068089589835,-6.735753623960707e-05,0.14796310247958755,0.006990409151034838,9.844163653022193
0.192,0,4,1,9.1805419576262,56.308626656569885,0.5648937734621349,5,160,9,1,-1,-9,2,-0.12450000000000001,4.8755,5.1245,-0.48362512678231834,0.1936156630370402,-6.742157018168639e-05,0.05252508344309866,0.01132051541046553,9.797944021382346
0.224,0,4,1,9.1805419576262,65.48916861419609,0.0,5,160,9,1,-1,-10,0,-0.15,4.85,5.15,-0.48088610896292927,0.19527086246998546,-6.752773320972336e-05,0.009719916807886935,0.025864152414147423,9.816461755513087
0.256,0,4,1,8.702223789946824,74.19139240414292,-0.47831816767937596,5,160,9,1,-2,-12,-1,-0.249,4.751,5.249,-0.47815170710739685,0.19693347325573238,-6.647264558476765e-05,-0.0873128416446702,0.011044009982306998,9.7915795217231
0.28800000000000003,0,4,1,8.702223789946824,82.89361619408974,0.0,5,160,9,1,-1,-13,1,-0.16349999999999998,4.8365,5.1635,-0.4754227097708021,0.1986049896840806,-6.602670374314563e-05,-0.07202354918375024,0.013165579358340243,9.788841747580342
0.32,0,4,1,8.130102354156005,91.02371854824575,-0.5721214357908195,5,160,9,1,-1,-14,0,-0.18,4.82,5.18,-0.4727038872448962,0.2002928277603307,-6.607908737070282e-05,-0.05367838856775129,0.021805640158849095,9.775354893041946
0.352,0,4,1,6.981057406829782,98.00477595507553,-1.1490449473262228,5,160,9,1,-2,-16,-1,-0.279,4.721,5.279,-0.46999145365117817,0.20199083827440553,-6.614006124617232e-05,-0.03193443462710754,0.015262051391043124,9.85976664691966
0.384,0,4,1,5.826342029555814,103.83111798463135,-1.154715377273968,5,160,9,1,-1,-17,1,-0.1935,4.8065,5.1935,-0.46728594288379627,0.2037000824968832,-6.61970153379935e-05,-0.008195728296267173,0.016698391891661387,9.803655614244342
0.41600000000000004,0,4,1,4.6199234816602734,108.45104146629163,-1.2064185478955407,5,160,9,1,-1,-18,0,-0.21000000000000002,4.79,5.21,-0.4645918499900153,0.20542711059683064,-6.611739635951908e-05,0.015454304371393984,0.024748562626148902,9.878429132647726
0.448,0,4,1,3.4682292589172015,111.91927072520883,-1.151694222743072,5,160,9,1,-1,-19,0,-0.21749999999999997,4.7825,5.2175,-0.4619054290340636,0.20716600444888658,-6.598113235939743e-05,0.014202292876710688,0.018356453588540846,9.75264203615335
0.48,0,4,1,2.3373058591238247,114.25657658433266,-1.1309233997933767,5,160,9,1,-1,-20,0,-0.22499999999999998,4.775,5.225,-0.45922730939581236,0.20891764815428734,-6.598484595369582e-05,0.011886067183432098,0.019973417256891533,9.735654970049705
0.512,0,4,1,0.5846305207048678,114.84120710503753,-1.7526753384189568,5,160,9,1,-1,-21,0,-0.23249999999999998,4.7675,5.2325,-0.4565578372139045,0.21068244102819184,-6.599907376285928e-05,0.008860222046812513,0.0209468875867304,9.744652791775767
0.544,0,4,1,0.5787255656079755,115.41993267064551,-0.0059049550968922615,5,160,9,1,-1,-22,0,-0.24,4.76,5.24,-0.45389736845240225,0.21246079369418763,-6.601942825428496e-05,0.004998995979376193,0.021886201667730854,9.852059494369886
0.5760000000000001,0,4,1,1.7534048600716274,117.17333753071713,1.174679294463652,5,160,9,1,0,-22,1,-0.15599999999999997,4.844,5.156,-0.45124627222817765,0.21425311678272901,-6.604368596296699e-05,0.0006846847267651696,0.022533891549873043,9.814021981900066
0.608,0,4,1,2.9207215210003468,120.09405905171748,1.1673166609287193,5,160,9,1,0,-22,0,-0.16499999999999998,4.835,5.165,-0.4486050641862388,0.21605965815837333,-6.599761354038683e-05,-0.004142374948605297,0.023396769897276105,9.845583386328856
0.64,0,4,1,2.9207215210003468,123.01478057271783,0.0,5,160,9,1,2,-20,2,0.018,5.018,4.982,-0.4459699577895805,0.2178750275847932,-6.594797306827202e-05,-0.00857405922753464,0.01725565235978685,9.802262017888783
0.672,0,4,1,2.3373058591238247,125.35208643184166,-0.583415661876522,5,160,9,1,3,-17,1,0.10649999999999997,5.1065,4.8935,-0.4433412407223034,0.2196998491458003,-6.572706635540708e-05,-0.008310854866413524,0.017883765006824103,9.789228171802694
0.704,0,4,1,1.169139327907133,126.52122575974879,-1.1681665312166918,5,160,9,1,3,-14,0,0.11999999999999998,5.12,4.88,-0.44071092934236167,0.22152220393792652,-6.545782393532068e-05,-0.008083076262693492,0.004126429698102579,9.826833500692123
0.736,0,4,1,1.169139327907133,127.69036508765592,0.0,5,160,9,1,2,-12,-1,0.051,5.051,4.949,-0.43807568345480885,0.2233365403099741,-6.520300688217517e-05,-0.007593161000681484,-0.002347038923147334,9.793384558777007
