Angle: +00.00, BaseSpeed: +06.28, Error: -29.00, DerivativeError: -29.00, DeltaSpeed: -01.74
Angle: +00.00, BaseSpeed: +06.28, Error: -11.00, DerivativeError: +18.00, DeltaSpeed: -00.95
Angle: +00.00, BaseSpeed: +06.28, Error: -01.00, DerivativeError: +10.00, DeltaSpeed: -00.46
Angle: +00.00, BaseSpeed: +06.28, Error: +08.00, DerivativeError: +09.00, DeltaSpeed: +00.07
Angle: +00.00, BaseSpeed: +06.28, Error: +11.00, DerivativeError: +03.00, DeltaSpeed: +00.33
Angle: +00.00, BaseSpeed: +06.28, Error: +12.00, DerivativeError: +01.00, DeltaSpeed: +00.50
Angle: +00.00, BaseSpeed: +06.28, Error: +10.00, DerivativeError: -02.00, DeltaSpeed: +00.50
Angle: +00.00, BaseSpeed: +06.28, Error: +08.00, DerivativeError: -02.00, DeltaSpeed: +00.48
Angle: +00.00, BaseSpeed: +06.28, Error: +06.00, DerivativeError: -02.00, DeltaSpeed: +00.44
Angle: +00.00, BaseSpeed: +06.28, Error: +03.00, DerivativeError: -03.00, DeltaSpeed: +00.32
Angle: +00.00, BaseSpeed: +06.28, Error: +01.00, DerivativeError: -02.00, DeltaSpeed: +00.23
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: -01.00, DeltaSpeed: +00.18
Angle: +00.00, BaseSpeed: +06.28, Error: -01.00, DerivativeError: -01.00, DeltaSpeed: +00.12
Angle: +00.00, BaseSpeed: +06.28, Error: -02.00, DerivativeError: -01.00, DeltaSpeed: +00.05
Angle: +00.00, BaseSpeed: +06.28, Error: -02.00, DerivativeError: +00.00, DeltaSpeed: +00.03
Angle: +00.00, BaseSpeed: +06.28, Error: -02.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: -02.00, DerivativeError: +00.00, DeltaSpeed: -00.01
Angle: +00.00, BaseSpeed: +06.28, Error: -02.00, DerivativeError: +00.00, DeltaSpeed: -00.03
Angle: +00.00, BaseSpeed: +06.28, Error: -02.00, DerivativeError: +00.00, DeltaSpeed: -00.05
Angle: +00.00, BaseSpeed: +06.28, Error: -01.00, DerivativeError: +01.00, DeltaSpeed: -00.01
Angle: +00.00, BaseSpeed: +06.28, Error: -01.00, DerivativeError: +00.00, DeltaSpeed: -00.02
Angle: +00.00, BaseSpeed: +06.28, Error: -01.00, DerivativeError: +00.00, DeltaSpeed: -00.03
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +01.00, DeltaSpeed: +00.02
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.02
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.02
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.02
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.02
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.02
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.02
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.02
Angle: +00.00, BaseSpeed: +06.28, Error: -01.00, DerivativeError: -01.00, DeltaSpeed: -00.04
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +01.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.01
Angle: +00.00, BaseSpeed: +06.28, Error: -01.00, DerivativeError: -01.00, DeltaSpeed: -00.05
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +01.00, DeltaSpeed: +00.00
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.00
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.00
Angle: +00.00, BaseSpeed: +06.28, Error: +00.00, DerivativeError: +00.00, DeltaSpeed: +00.00
Angle: +00.00, BaseSpeed: +06.28, Error: -01.00, DerivativeError: -01.00, DeltaSpeed: -00.06
Angle: +00.00, BaseSpeed: +06.28, Error: -02.00, DerivativeError: -01.00, DeltaSpeed: -00.13
Angle: +00.00, BaseSpeed: +06.28, Error: -04.00, DerivativeError: -02.00, DeltaSpeed: -00.27
Angle: +00.00, BaseSpeed: +06.28, Error: -07.00, DerivativeError: -03.00, DeltaSpeed: -00.49
Angle: +00.00, BaseSpeed: +06.28, Error: -09.00, DerivativeError: -02.00, DeltaSpeed: -00.68
Angle: +16.70, BaseSpeed: +06.11, Error: -10.00, DerivativeError: -01.00, DeltaSpeed: -00.83
Angle: +00.00, BaseSpeed: +06.28, Error: -10.00, DerivativeError: +00.00, DeltaSpeed: -00.93
Angle: +16.70, BaseSpeed: +06.11, Error: -10.00, DerivativeError: +00.00, DeltaSpeed: -01.03
Angle: +16.70, BaseSpeed: +06.11, Error: -09.00, DerivativeError: +01.00, DeltaSpeed: -01.07
Angle: +16.70, BaseSpeed: +06.11, Error: -08.00, DerivativeError: +01.00, DeltaSpeed: -01.10
Angle: +16.70, BaseSpeed: +06.11, Error: -07.00, DerivativeError: +01.00, DeltaSpeed: -01.12
Angle: +19.29, BaseSpeed: +06.09, Error: -06.00, DerivativeError: +01.00, DeltaSpeed: -01.13
Angle: +21.80, BaseSpeed: +06.06, Error: -06.00, DerivativeError: +00.00, DeltaSpeed: -01.19
Angle: +21.80, BaseSpeed: +06.06, Error: -06.00, DerivativeError: +00.00, DeltaSpeed: -01.25
Angle: +21.80, BaseSpeed: +06.06, Error: -05.00, DerivativeError: +01.00, DeltaSpeed: -01.25
Angle: +21.80, BaseSpeed: +06.06, Error: -05.00, DerivativeError: +00.00, DeltaSpeed: -01.30
Angle: +24.23, BaseSpeed: +06.04, Error: -04.00, DerivativeError: +01.00, DeltaSpeed: -01.29
Angle: +24.23, BaseSpeed: +06.04, Error: -05.00, DerivativeError: -01.00, DeltaSpeed: -01.39
Angle: +26.57, BaseSpeed: +06.01, Error: -06.00, DerivativeError: -01.00, DeltaSpeed: -01.50
Angle: +33.02, BaseSpeed: +05.95, Error: -16.00, DerivativeError: -10.00, DeltaSpeed: -02.16
Angle: +33.02, BaseSpeed: +05.95, Error: -10.00, DerivativeError: +06.00, DeltaSpeed: -01.96
Angle: +34.99, BaseSpeed: +05.93, Error: -11.00, DerivativeError: -01.00, DeltaSpeed: -02.12
Angle: +57.17, BaseSpeed: +05.71, Error: -21.00, DerivativeError: -10.00, DeltaSpeed: -02.83
Angle: +55.41, BaseSpeed: +05.73, Error: -18.00, DerivativeError: +03.00, DeltaSpeed: -02.86
Angle: +47.73, BaseSpeed: +05.80, Error: -11.00, DerivativeError: +07.00, DeltaSpeed: -02.62
Angle: +60.95, BaseSpeed: +05.67, Error: -18.00, DerivativeError: -07.00, DeltaSpeed: -03.15
Angle: +69.68, BaseSpeed: +05.58, Error: -29.00, DerivativeError: -11.00, DeltaSpeed: -03.99
Angle: +64.54, BaseSpeed: +05.63, Error: -19.00, DerivativeError: +10.00, DeltaSpeed: -03.68
Angle: +55.41, BaseSpeed: +05.73, Error: -09.00, DerivativeError: +10.00, DeltaSpeed: -03.27
Angle: +68.20, BaseSpeed: +05.60, Error: -21.00, DerivativeError: -12.00, DeltaSpeed: -04.08
Angle: +70.35, BaseSpeed: +05.58, Error: -28.00, DerivativeError: -07.00, DeltaSpeed: -04.71
Angle: +64.00, BaseSpeed: +05.64, Error: -14.00, DerivativeError: +14.00, DeltaSpeed: -04.15
Angle: +62.85, BaseSpeed: +05.65, Error: -11.00, DerivativeError: +03.00, DeltaSpeed: -04.11
