Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,1.7714697400340056,1.7714697400340056,1.7714697400340056,5.5,160,9,1,-4,-4,-4,-0.36599999999999994,5.134,5.866,-0.42705200000000004,0.3999999999999992,-6.396457831309502e-05,-3.881199933407102,-0.0932117966037196,9.77930381065122
0.064,0,4,1,0.5906572146464071,2.362126954680413,-1.1808125253875985,5.5,160,9,1,-3,-7,1,-0.26849999999999996,5.2315000000000005,5.7684999999999995,-0.4235558556072559,0.40000475130272745,-2.6525426863616836e-05,4.106364984459623,-0.02439831269612651,9.613778746374575
0.096,0,4,1,0.5906572146464071,2.95278416932682,0.0,5.5,160,9,1,-1,-8,2,-0.117,5.383,5.617,-0.4200509808928392,0.4000478068278432,-6.101774766957557e-05,0.3536504178735801,0.030243732538075566,9.711305575599374
0.128,0,4,1,0.5906572146464071,3.543441383973227,0.0,5.5,160,9,1,0,-8,1,-0.051,5.449,5.551,-0.41653081394225866,0.40010945789221924,-7.514700380524368e-05,-0.003386080585895428,0.01943236726064518,9.858496877916679
0.16,0,4,1,1.181188913326966,4.724630297300193,0.5905316986805589,5.5,160,9,1,0,-8,0,-0.06,5.44,5.56,-0.4130115155683853,0.4001796663588435,-6.904052564959094e-05,0.16049351458505123,0.010011681181156506,9.845656190217206
0.192,0,4,1,1.181188913326966,5.9058192106271585,0.0,5.5,160,9,1,1,-7,1,0.0315,5.5315,5.4685,-0.4094959255243728,0.4002537996894771,-6.897169746810164e-05,0.06978812073391998,0.0050175297327233765,9.7966747099263
0.224,0,4,1,1.181188913326966,7.087008123954124,0.0,5.5,160,9,1,1,-6,0,0.03,5.53,5.47,-0.4059769725344459,0.40033232111629,-6.876540394234847e-05,-0.014775013604087561,0.006500527969260862,9.816661270279836
0.256,0,4,1,1.181188913326966,8.268197037281091,0.0,5.5,160,9,1,1,-5,0,0.0375,5.5375,5.4625,-0.402457953371141,0.40040722302881304,-6.756061724219435e-05,-0.01738252736886574,-0.0009509558464477443,9.79116142812664
0.28800000000000003,0,4,1,1.181188913326966,9.449385950608058,0.0,5.5,160,9,1,1,-4,0,0.045,5.545,5.455,-0.3989388484386954,0.40047859984641326,-6.694687795586254e-05,-0.015425409700838031,-0.00041160016649411426,9.789570048269137
0.32,0,4,1,1.181188913326966,10.630574863935024,0.0,5.5,160,9,1,1,-3,0,0.0525,5.5525,5.4475,-0.3954196393502693,0.4005459009331047,-6.643608127551714e-05,-0.012784740258178261,-0.0007741551837503836,9.775874692355089
