Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,21.305783617828766,21.305783617828766,21.305783617828766,5.193405035490732,160,9,1,-132,-132,-132,-1.32,3.873405035490732,6.28,-0.41499300000000033,0.3799999999999952,-6.395993683771736e-05,-3.90630374455461,-0.009670035540892475,9.779349755802938
0.064,0,4,1,29.24882633654698,50.55460995437575,7.943042718718214,4.8096156404539325,160,9,1,-119,-251,13,-1.19,3.6196156404539326,5.999615640453932,-0.4118191370997538,0.3800142305409617,-3.306480295424928e-05,3.728325202590041,-0.07281656936724086,9.64754496521431
0.096,0,4,1,29.24882633654698,79.80343629092273,0.0,4.817558683172651,160,9,1,-115,-366,4,-1.1500000000000001,3.6675586831726505,5.967558683172651,-0.4088098933990744,0.38014920051594875,-6.126214545272395e-05,0.15752617993506543,0.10504319564659881,9.735040564329047
0.128,0,4,1,28.810793742973065,108.6142300338958,-0.4380325935739151,4.839898345444921,160,9,1,-112,-478,3,-1.12,3.7198983454449213,5.9598983454449215,-0.4057232380097239,0.38036021832138395,-7.488426620099776e-05,0.07622424532209351,0.07300782563192172,9.852050626525749
0.16,0,4,1,30.11373315098243,138.72796318487823,1.3029394080093653,4.7730104030428695,160,9,1,-99,-577,13,-0.99,3.7830104030428693,5.76301040304287,-0.4026299138476,0.3806497857740134,-7.256444597522095e-05,0.17185323647271505,0.08856885625943732,9.843136143382342
0.192,0,4,1,29.24882633654698,167.97678952142522,-0.8649068144354501,4.818423589987086,160,9,1,-88,-665,11,-0.88,3.938423589987086,5.698423589987086,-0.39959223685607326,0.3810205911711045,-7.673581442930316e-05,0.03135867154118606,0.08844940959121941,9.796844185900614
0.224,0,4,1,28.369046293278583,196.3458358147038,-0.8797800432683971,4.86242746537934,160,9,1,-78,-743,10,-0.78,4.0824274653793395,5.64242746537934,-0.3965337385130571,0.38146145938196196,-8.116518544869916e-05,0.022111633620739864,0.07543792492516006,9.816201670492253
0.256,0,4,1,27.02158159117705,223.36741740588084,-1.347464702101533,4.93026838514325,160,9,1,-66,-809,12,-0.66,4.2702683851432495,5.59026838514325,-0.39345900096500364,0.38196526672558195,-8.41003963678727e-05,0.022646815688782053,0.07268489655588217,9.791686107059014
0.28800000000000003,0,4,1,26.565051177077994,249.93246858295885,-0.45653041409905626,4.952203971560199,160,9,1,-55,-864,11,-0.55,4.4022039715601995,5.502203971560199,-0.39038610030639453,0.38252344097602003,-8.375930710733878e-05,0.0053247242976815125,0.06800703847675584,9.793255107957163
0.32,0,4,1,25.173524524530173,275.10599310748904,-1.391526652547821,5.022715300426039,160,9,1,-44,-908,11,-0.44,4.582715300426039,5.46271530042604,-0.387300078035892,0.3831332442389072,-8.306789801140226e-05,0.02043906902813843,0.0640537953675471,9.776229803056422
0.352,0,4,1,24.22774531795417,299.3337384254432,-0.9457792065760025,5.069558513308868,160,9,1,-35,-943,9,-0.35000000000000003,4.719558513308868,5.419558513308868,-0.3841699220723787,0.383791642393753,-8.199082350656556e-05,0.05044967493196576,0.05648917386313327,9.860119130880962
0.384,0,4,1,22.782405730481685,322.11614415592487,-1.4453395874724855,5.142325053063388,160,9,1,-26,-969,9,-0.26,4.882325053063388,5.402325053063388,-0.3810107618605943,0.38448686295791146,-8.058914473703382e-05,0.03421610445948385,0.04905805216339883,9.80389542041082
0.41600000000000004,0,4,1,21.80140948635181,343.9175536422767,-0.980996244129873,5.19091052192654,160,9,1,-18,-987,8,-0.18,5.01091052192654,5.37091052192654,-0.3778063022040901,0.3852155674279199,-7.894102707854678e-05,0.049390620160247714,0.04310307896679489,9.878492278378227
0.448,0,4,1,20.304473709960448,364.22202735223715,-1.4969357763913642,5.266273250278369,160,9,1,-10,-997,8,-0.1,5.166273250278369,5.366273250278368,-0.37457515973280514,0.38596845157613874,-7.716915426286657e-05,0.029902880683301433,0.03886215384336964,9.752708297175662
0.48,0,4,1,19.290046219188728,383.5120735714259,-1.0144274907717197,5.316512116531335,160,9,1,-4,-1001,6,-0.04,5.276512116531335,5.356512116531335,-0.37129906076449587,0.3867427917497674,-7.539625681793512e-05,0.046527415244223214,0.032290618234739256,9.735763194203415
0.512,0,4,1,17.22343619113144,400.73550976255734,-2.066610028057287,5.420894800471485,160,9,1,3,-998,7,0.03,5.4508948004714854,5.390894800471485,-0.3679920549221454,0.3875271183732831,-7.376788858045637e-05,0.03122004122689309,0.024268863759245266,9.744508661072782
0.544,0,4,1,16.17215901578257,416.90766877833994,-1.051277175348872,5.47244332638622,160,9,1,8,-990,5,0.08,5.5524433263862205,5.39244332638622,-0.3646188646245686,0.3883266018082331,-7.235225556260702e-05,0.06597348570161829,0.02066049249253113,9.85184970502162
0.5760000000000001,0,4,1,15.109575122340447,432.0172439006804,-1.0625838934421221,5.52558382777642,160,9,1,13,-977,5,0.13,5.65558382777642,5.39558382777642,-0.3612119001013532,0.3891291670307672,-7.113064638439304e-05,0.032718172939372396,0.015244570400908443,9.813837677446463
